         30819661 function calls (30815093 primitive calls) in 57.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    201/6    0.000    0.000    0.467    0.078 <frozen importlib._bootstrap_external>:849(exec_module)
     1700    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1140    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      110    0.000    0.000    0.000    0.000 car.py:52(calculate_fitness)
       12    0.000    0.000    1.980    0.165 main.py:11(initialize_new_generation)
      168    0.000    0.000    0.001    0.000 clock.py:415(_get_soft_next_ts)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      594    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
       76    0.000    0.000    0.001    0.000 runtime.py:649(add_method)
     1407    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      648    0.000    0.000    0.000    0.000 __init__.py:389(__init__)
     1100    0.000    0.000    0.000    0.000 lib.py:58(missing_function)
      200    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      768    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
  244/241    0.000    0.000    0.038    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     1941    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
      132    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
      274    0.000    0.000    0.002    0.000 function_base.py:451(add_newdoc)
      602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      150    0.000    0.000    0.009    0.000 re.py:289(_compile)
   134/40    0.000    0.000    0.005    0.000 sre_parse.py:435(_parse_sub)
      192    0.000    0.000    0.000    0.000 vertexattribute.py:469(__init__)
      672    0.000    0.000    0.000    0.000 __init__.py:777(__hash__)
      462    0.000    0.000    0.001    0.000 sprite.py:248(__del__)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      381    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      204    0.000    0.000    0.001    0.000 __init__.py:1143(__init__)
     1598    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      132    0.000    0.000    0.001    0.000 posixpath.py:117(splitext)
      416    0.000    0.000    0.000    0.000 path.py:21(get_middle_of_tile)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     1598    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      239    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      504    0.000    0.000    0.002    0.000 sprite.py:515(scale)
      440    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:385(cached)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      806    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
     2200    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       24    0.000    0.000    0.002    0.000 dyld.py:121(dyld_find)
      250    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        1    0.000    0.000    0.011    0.011 cocoalibs.py:1(<module>)
      204    0.000    0.000    0.001    0.000 __init__.py:886(get_region)
      192    0.000    0.000    0.000    0.000 __init__.py:1091(_get_gl_format_and_type)
      753    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      753    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      258    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
      487    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        3    0.000    0.000    0.000    0.000 enum.py:179(__new__)
    361/7    0.000    0.000    0.465    0.066 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        3    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
